2025-12-14 13:51:25,597 - INFO - risk_monitor - Connected ccxt exchange 'kraken' (id=kraken, 1405 markets)
2025-12-14 13:51:28,784 - INFO - risk_monitor - Connected ccxt exchange 'bitget_spot' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Connected ccxt exchange 'bitget_futures' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Building dynamic trading universe from exchange markets
2025-12-14 13:51:31,776 - INFO - risk_monitor - Capping symbols for kraken from 587 to 120
2025-12-15 02:53:23,600 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 91.2bps | volume $478555674 | latency kraken:949ms, bitget_spot:259ms, bitget_futures:256ms
2025-12-15 03:01:51,680 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 94.6bps | volume $479577039 | latency kraken:946ms, bitget_spot:265ms, bitget_futures:255ms
2025-12-15 03:10:18,654 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 96.2bps | volume $483712412 | latency kraken:938ms, bitget_spot:256ms, bitget_futures:258ms
2025-12-15 03:18:46,164 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 94.4bps | volume $486587014 | latency kraken:943ms, bitget_spot:266ms, bitget_futures:251ms
2025-12-15 03:27:14,716 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 96.3bps | volume $490386400 | latency kraken:943ms, bitget_spot:257ms, bitget_futures:261ms
2025-12-15 03:35:40,540 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 96.3bps | volume $490312981 | latency kraken:946ms, bitget_spot:254ms, bitget_futures:255ms
2025-12-15 03:44:08,243 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 96.9bps | volume $490520027 | latency kraken:950ms, bitget_spot:256ms, bitget_futures:258ms
2025-12-15 03:52:35,083 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 94.5bps | volume $490636771 | latency kraken:940ms, bitget_spot:253ms, bitget_futures:258ms
2025-12-15 04:01:01,894 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 99.4bps | volume $490465159 | latency kraken:949ms, bitget_spot:253ms, bitget_futures:260ms
2025-12-15 04:09:28,737 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 94.8bps | volume $490996782 | latency kraken:945ms, bitget_spot:254ms, bitget_futures:259ms
2025-12-15 04:17:55,895 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 93.9bps | volume $491134429 | latency kraken:947ms, bitget_spot:255ms, bitget_futures:261ms
